"pais","continente","población","porcentaje","cantidad"
"Alemania","Europa",83,1,0.83
"Chile","América",19,1,0.19
"Argentina","América",45,1,0.45
"Suecia","Europa",10,1,0.1
"España","Europa",46,1,0.46
"Mexico","América",128,0,0
"Brasil","América",212,1,2.12
"Hungría","Europa",9,1,0.09
"Australia","Oceanía",25,1,0.25
"Malasia","Asia",32,0,0
"Canada","América",37,1,0.37
"Francia","Europa",65,1,0.65
"Reino Unido","Europa",67,1,0.67
"India","Asia",1380,1,13.8
"Turquia","Asia",84,0,0
"Japón","Asia",126,1,1.26
"China","Asia",1439,1,14.39
"Peru","América",32,0,0
"Rusia","Europa",145,0,0
"USA","América",331,2,6.62
"Bélgica","Europa",11,0,0
"Italia","Europa",60,1,0.6
"Corea del Sur","Asia",51,1,0.51
"Holanda","Europa",17,1,0.17
"Colombia","Latinomérica",50,0,0
"Polonia","Europa",37,1,0.37
"Sudafrica","África",59,1,0.59
